Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jusuf Nurkić,,7.8,4.7,2,1.6,0.4
Bill McGill,83.3,7.1,4.6,3.1,2.2,-0.1
Roy Tarpley,83.2,7.8,3.5,3.1,2,0.6
Marvin Webster,82.9,8.7,3.9,2.8,1.3,0.2
Zydrunas Ilgauskas,80.9,9.4,5,2.5,0.7,0.5
Gheorghe Mureșan,79.7,8,5.3,4.1,1.3,-0.1
Felton Spencer,79.5,5.6,4.7,2,2,1.1
Dale Schlueter,78.9,6.3,4.4,3,1.6,1.1
Sam Lacey,78.7,7.7,7.4,2.7,1.2,0.3
Skip Thoren,78.4,7,4.4,1.6,NA,NA
Enes Kanter,78.1,8.1,6.4,2.3,2.2,1.7
