Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ira Newble,,3.3,2.3,1.9,0.9,0.5,0.2,0.1,0.1
Mark Alarie,87.1,3.1,2.2,1.5,0.9,0.6,NA,NA,NA
Noah Vonleh,84.4,3.2,1.8,1.6,1.2,0.5,NA,NA,NA
Solomon Hill,82.6,3.5,2.7,2.1,0.5,0.4,-0.1,NA,NA
Bruce Seals,82.4,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Jahidi White,82.1,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,NA
Shabazz Muhammad,81.9,2.7,2.7,2,0.7,0.3,NA,NA,NA
George Trapp,81.7,3.5,2.4,1.5,1,0.1,-0.2,NA,NA
James Singleton,81.6,3,2.3,1.1,1,0.7,NA,NA,NA
Lee Nailon,81.3,3.5,2.2,0.9,0.7,0.5,0.3,NA,NA
George Kaftan,80.9,3.4,2.4,1.7,1.6,-0.1,NA,NA,NA
