Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Thurl Bailey,,6.8,6.5,5.4,4.6,4,3.7,3.6,3.1,2.6,2.6,1.2,0.9
Junior Bridgeman,93.2,6.7,6.1,5.5,5.1,4.8,4,3.6,3.1,2.6,2.1,0.8,0.6
Kenyon Martin,92.3,7.1,6.7,5.3,5,4.9,4,3.8,3.3,2.7,2.1,0.9,0
Ersan İlyasova,91.9,6.7,6.4,5.8,4.4,4.1,4,4,3.8,3,1.6,1,NA
Caron Butler,89.4,7.2,6.3,5.3,5.3,5.1,4.5,3.6,3.5,2.3,2.1,1.8,1.2
Larry Smith,89.2,6.1,5.4,5.2,4.7,4.4,4.3,4,3.7,3.1,2.6,1.2,0.3
Ed Pinckney,89.1,7.5,6.2,6.1,4.7,4,3.7,2.9,2.7,2.3,1.6,0.7,0.3
Juwan Howard,89.0,7,6,5.6,4.9,4.6,4.4,3.7,3.6,3.2,2.8,2.8,1.9
Trevor Ariza,87.9,8,6.6,6.1,5.4,3.4,3.4,3.2,3.1,2.2,2.1,1.8,0.9
John Salley,87.6,6.2,6.1,5.1,4.8,4.8,3.8,3.6,3.5,2.5,0.6,0.5,NA
Glenn Robinson,87.4,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5,NA
