Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Marcus Smart,,5.3,3.2,2.9,2.9,1.9,NA,NA,NA,NA
Rodney Hood,87.7,6,2.7,2.6,2.6,2.2,NA,NA,NA,NA
Mitchell Wiggins,85.4,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA
Tim Hardaway,83.8,4.8,3.1,2.6,1.9,1.8,0.8,NA,NA,NA
Evan Fournier,83.2,5.7,3.3,3.2,2.8,2.1,1.4,1,NA,NA
Avery Bradley,82.9,4.8,3.1,2.5,2.4,1.8,0.4,0.3,-0.2,-0.5
Larry Miller,82.6,6.2,3.4,3.2,3,2.4,1.3,0,NA,NA
Jim McElroy,80.9,4.9,3.5,2.9,2.6,0.8,0.3,-0.9,NA,NA
Chico Vaughn,80.4,4.9,3.4,3.4,2.3,2.3,0.8,0.4,0.4,NA
Elfrid Payton,80.3,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA
Al Skinner,80.3,4.9,3.3,2.1,1.8,1.2,0,NA,NA,NA
