Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Marcus Smart,,5.3,3.2,2.9,2.9,1.9
Foots Walker,92.3,5.2,3.4,3,2.3,1.5
Bimbo Coles,92.2,5.7,3.2,3,2.8,1.1
Chucky Atkins,90.0,5.1,2.8,2.7,2.4,1.5
Todd Day,89.5,4.8,3.2,2.6,2.1,1.9
Jim Price,89.2,5,3.7,2.7,2.6,1.5
Tyreke Evans,88.5,5.4,4.4,3.1,2.7,1.6
Scott Brooks,88.4,4.6,2.9,2.7,2.6,2.1
Nate Robinson,88.4,5.9,3.2,3.2,2.2,1.5
Larry Miller,88.1,6.2,3.4,3.2,3,2.4
Rodney Hood,87.7,6,2.7,2.6,2.6,2.2
