Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1949-50,24,TOT,NBA,NA,52,NA,NA,159,414,0.384,157,222,0.707,NA,91,111,475
1949-50,24,DNN,NBA,NA,33,NA,NA,110,302,0.364,111,153,0.725,NA,63,73,331
1949-50,24,FTW,NBA,NA,19,NA,NA,49,112,0.438,46,69,0.667,NA,28,38,144
1950-51,25,FTW,NBA,NA,61,NA,NA,157,458,0.343,135,184,0.734,183,82,143,449
Career,NA,,NBA,NA,113,NA,NA,316,872,0.362,292,406,0.719,183,173,254,924
,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,FTW,NBA,NA,80,NA,NA,206,570,0.361,181,253,0.715,183,110,181,593
1 season,NA,DNN,NBA,NA,33,NA,NA,110,302,0.364,111,153,0.725,NA,63,73,331
