Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Brad Holland,,0.3,0.1,-0.1,NA
Elijah Millsap,79.6,0.4,0.1,-0.1,NA
Russ Lee,75.6,0.3,0.2,0,NA
Malcolm Lee,71.1,0.4,0.1,0,NA
Corey Beck,68.4,0.4,0.2,-0.1,NA
Billy Thomas,67.3,0.4,0.2,-0.1,NA
Michael Phelps,62.7,0.3,0.1,-0.1,NA
A.J. Guyton,54.8,0.3,0.1,-0.1,NA
Briante Weber,54.5,0.4,0.3,0,NA
R.J. Hunter,52.6,0.3,0.1,0,0
Dave Jamerson,49.8,0.2,0.1,-0.1,NA
