Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,CHI,NBA,SF,3,NA,26,6.9,12.5,0.556,NA,NA,NA,6.9,12.5,0.556,1.4,5.5,0.25,NA,NA,13.8,2.8,NA,5.5,15.2
1968-69,24,TOT,TOT,SF,51,NA,479,5.9,15.5,0.383,0,0,NA,5.9,15.5,0.383,2.9,5.6,0.52,6.5,NA,15.2,2,3.5,5.2,14.8
1968-69,24,TOT,ABA,SF,47,NA,465,5.9,15.3,0.384,0,0,NA,5.9,15.3,0.384,2.9,5.5,0.535,6.7,8.7,15.4,2,3.6,5.3,14.7
1968-69,24,CHI,NBA,SF,4,NA,14,7.7,20.6,0.375,NA,NA,NA,7.7,20.6,0.375,2.6,10.3,0.25,NA,NA,7.7,2.6,NA,2.6,18
1968-69,24,NYA,ABA,SF,4,NA,22,3.3,13.1,0.25,0,0,NA,3.3,13.1,0.25,9.8,14.7,0.667,1.6,4.9,6.5,3.3,6.5,9.8,16.4
1968-69,24,DNR,ABA,SF,37,NA,409,6.3,15.9,0.398,0,0,NA,6.3,15.9,0.398,2.6,5,0.526,7,8.5,15.6,1.9,3.3,4.9,15.3
1968-69,24,MNP,ABA,SF,6,NA,34,2.1,9.5,0.222,0,0,NA,2.1,9.5,0.222,2.1,5.3,0.4,6.4,12.7,19.1,2.1,6.4,6.4,6.4
Career,NA,,TOT,,54,NA,505,6,15.3,0.391,0,0,NA,6,15.3,0.391,2.9,5.6,0.506,6.7,8.7,15.1,2.1,3.6,5.2,14.8
,NA,,ABA,,47,NA,465,5.9,15.3,0.384,0,0,NA,5.9,15.3,0.384,2.9,5.5,0.535,6.7,8.7,15.4,2,3.6,5.3,14.7
,NA,,NBA,,7,NA,40,7.2,15.3,0.471,NA,NA,NA,7.2,15.3,0.471,1.8,7.2,0.25,NA,NA,11.7,2.7,NA,4.5,16.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DNR,ABA,,37,NA,409,6.3,15.9,0.398,0,0,NA,6.3,15.9,0.398,2.6,5,0.526,7,8.5,15.6,1.9,3.3,4.9,15.3
2 seasons,NA,CHI,NBA,,7,NA,40,7.2,15.3,0.471,NA,NA,NA,7.2,15.3,0.471,1.8,7.2,0.25,NA,NA,11.7,2.7,NA,4.5,16.2
1 season,NA,MNP,ABA,,6,NA,34,2.1,9.5,0.222,0,0,NA,2.1,9.5,0.222,2.1,5.3,0.4,6.4,12.7,19.1,2.1,6.4,6.4,6.4
1 season,NA,NYA,ABA,,4,NA,22,3.3,13.1,0.25,0,0,NA,3.3,13.1,0.25,9.8,14.7,0.667,1.6,4.9,6.5,3.3,6.5,9.8,16.4
