Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,CHI,NBA,SF,3,NA,26,5,9,0.556,NA,NA,NA,5,9,0.556,0.556,1,4,0.25,NA,NA,10,2,NA,4,11
1968-69,24,TOT,TOT,SF,51,NA,479,79,206,0.383,0,0,NA,79,206,0.383,0.383,39,75,0.52,87,NA,202,27,47,69,197
1968-69,24,TOT,ABA,SF,47,NA,465,76,198,0.384,0,0,NA,76,198,0.384,0.384,38,71,0.535,87,112,199,26,47,68,190
1968-69,24,CHI,NBA,SF,4,NA,14,3,8,0.375,NA,NA,NA,3,8,0.375,0.375,1,4,0.25,NA,NA,3,1,NA,1,7
1968-69,24,NYA,ABA,SF,4,NA,22,2,8,0.25,0,0,NA,2,8,0.25,0.25,6,9,0.667,1,3,4,2,4,6,10
1968-69,24,DNR,ABA,SF,37,NA,409,72,181,0.398,0,0,NA,72,181,0.398,0.398,30,57,0.526,80,97,177,22,37,56,174
1968-69,24,MNP,ABA,SF,6,NA,34,2,9,0.222,0,0,NA,2,9,0.222,0.222,2,5,0.4,6,12,18,2,6,6,6
Career,NA,,TOT,,54,NA,505,84,215,0.391,0,0,NA,84,215,0.391,0.391,40,79,0.506,87,112,212,29,47,73,208
,NA,,ABA,,47,NA,465,76,198,0.384,0,0,NA,76,198,0.384,0.384,38,71,0.535,87,112,199,26,47,68,190
,NA,,NBA,,7,NA,40,8,17,0.471,NA,NA,NA,8,17,0.471,0.471,2,8,0.25,NA,NA,13,3,NA,5,18
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DNR,ABA,,37,NA,409,72,181,0.398,0,0,NA,72,181,0.398,0.398,30,57,0.526,80,97,177,22,37,56,174
2 seasons,NA,CHI,NBA,,7,NA,40,8,17,0.471,NA,NA,NA,8,17,0.471,0.471,2,8,0.25,NA,NA,13,3,NA,5,18
1 season,NA,MNP,ABA,,6,NA,34,2,9,0.222,0,0,NA,2,9,0.222,0.222,2,5,0.4,6,12,18,2,6,6,6
1 season,NA,NYA,ABA,,4,NA,22,2,8,0.25,0,0,NA,2,8,0.25,0.25,6,9,0.667,1,3,4,2,4,6,10
