,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,CHI,NBA,,2,4,,,,,1,4,,,6,1,,2,5
1968-69,24,CHI,NBA,,2,4,,,,,1,3,,,2,1,,1,4
1968-69,24,NYA,ABA,,1,,0,,,,2,4,,,,,,,4
1968-69,24,DNR,ABA,,9,,0,,,,6,7,,,,,,,18
1968-69,24,MNP,ABA,,2,,0,,,,1,3,,,,,,,4
1968-69,24,TOT,ABA,,9,,0,,,,6,7,,,,,,,18
Career,,,TOT,,9,,,,,,6,7,,,,,,,18
,,,NBA,,2,4,,,,,1,4,,,6,1,,2,5
,,,ABA,,9,,0,,,,6,7,,,,,,,18
,,,,,,,,,,,,,,,,,,,
1 Season,,DNR,ABA,,9,,0,,,,6,7,,,,,,,18
2 Seasons,,CHI,NBA,,2,4,,,,,1,4,,,6,1,,2,5
1 Season,,MNP,ABA,,2,,0,,,,1,3,,,,,,,4
1 Season,,NYA,ABA,,1,,0,,,,2,4,,,,,,,4
