Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,CHI,NBA,SF,3,26,16.2,0.511,NA,0.444,NA,NA,NA,11.2,NA,NA,NA,0,0,0.1,0.125
1968-69,24,TOT,TOT,SF,51,479,13.3,0.412,0,0.364,NA,NA,19.5,7.7,17,22.1,NA,-0.6,0.7,0,0.004
1968-69,24,TOT,ABA,SF,47,465,13.4,0.414,0,0.359,NA,NA,19.5,7.6,17,22.1,NA,-0.6,0.6,0.1,0.008
1968-69,24,CHI,NBA,SF,4,14,9.9,0.359,NA,0.5,NA,NA,NA,11.3,NA,NA,NA,-0.1,0,0,-0.123
1968-69,24,NYA,ABA,SF,4,22,1.7,0.418,0,1.125,NA,NA,8.1,12.2,25.1,26.5,NA,0,0,0,-0.031
1968-69,24,DNR,ABA,SF,37,409,15.1,0.422,0,0.315,NA,NA,19.7,7.4,15.2,22.2,NA,-0.4,0.5,0.1,0.014
1968-69,24,MNP,ABA,SF,6,34,1.5,0.268,0,0.556,NA,NA,23.5,7.2,34.9,17.9,NA,-0.1,0.1,0,-0.037
Career,NA,,TOT,,54,505,13.5,0.416,0,0.367,NA,NA,19.5,7.9,17,22.1,NA,-0.6,0.7,0.1,0.01
,NA,,ABA,,47,465,13.4,0.414,0,0.359,NA,NA,19.5,7.6,17,22.1,NA,-0.6,0.6,0.1,0.008
,NA,,NBA,,7,40,14,0.439,NA,0.471,NA,NA,NA,11.2,NA,NA,NA,0,0.1,0,0.038
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DNR,ABA,,37,409,15.1,0.422,0,0.315,NA,NA,19.7,7.4,15.2,22.2,NA,-0.4,0.5,0.1,0.014
2 seasons,NA,CHI,NBA,,7,40,14,0.439,NA,0.471,NA,NA,NA,11.2,NA,NA,NA,0,0.1,0,0.038
1 season,NA,MNP,ABA,,6,34,1.5,0.268,0,0.556,NA,NA,23.5,7.2,34.9,17.9,NA,-0.1,0.1,0,-0.037
1 season,NA,NYA,ABA,,4,22,1.7,0.418,0,1.125,NA,NA,8.1,12.2,25.1,26.5,NA,0,0,0,-0.031
