Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1975-76,22,DET,NBA,PF,4,6,-20.2,0,0,18.2,0,9.1,0,0,0,NA,-0.1,0,-0.1,-0.871,NA,-25.5,-15.2,-40.7,-0.1
Career,NA,,NBA,,4,6,-20.2,0,0,18.2,0,9.1,0,0,0,NA,-0.1,0,-0.1,-0.871,NA,-25.5,-15.2,-40.7,-0.1
