Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jamal Sampson,,0.5,0.4,0.2,0.2,0,NA
Roderick McDonald,75.7,0.5,0.5,0.2,NA,NA,NA
Troy Williams,74.6,0.5,0.4,0.4,NA,NA,NA
Bill Curley,74.5,0.7,0.5,0.2,0.2,0,NA
Obinna Ekezie,73.3,0.7,0.5,0.4,0.2,NA,NA
Anthony Cook,70.8,0.5,0.4,0.1,0.1,NA,NA
Adrian Caldwell,70.2,0.4,0.3,0.2,0.1,0,0
Alex Poythress,66.3,0.5,0.3,0.1,NA,NA,NA
Mark Randall,66.3,0.5,0.3,0.2,0,NA,NA
Hank McDowell,62.7,0.7,0.4,0.4,0.2,0.2,0.1
Michael Smith,60.9,0.7,0.3,0.3,NA,NA,NA
