Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
John Williams,,6.9,5,3.5,1.9,1.3,1,0.8,-0.5,NA,NA,NA
Buck Johnson,86.3,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA,NA,NA
J.J. Hickson,84.6,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8,NA,NA,NA
Pervis Ellison,83.9,6.9,4,3.9,2.6,1.8,1.1,0.7,0.5,0.4,0,0
Bison Dele,83.3,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA,NA,NA
Greg Smith,82.8,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0,NA,NA,NA
Josh McRoberts,81.5,6.5,4.9,2.2,1.5,1.4,0.8,0.4,0.4,0.3,0.1,0
Ernie Vandeweghe,81.4,7.1,4.8,3.9,2.1,0.3,-0.1,NA,NA,NA,NA,NA
Andrés Nocioni,80.0,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA,NA,NA
Dick Schnittker,79.1,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA,NA,NA,NA
Jerami Grant,78.7,7.3,5.4,2.9,2.1,0.5,NA,NA,NA,NA,NA,NA
