Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
John Williams,,6.9,5,3.5,1.9,1.3,1,0.8,-0.5
Buck Johnson,86.3,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA
Chris Wilcox,84.9,6,4.4,3.4,2.6,1.3,1.1,0.6,0.2
J.J. Hickson,84.6,6.9,4.3,3.3,1.8,1.7,1.5,1.5,0.8
Pervis Ellison,84.2,6.9,4,3.9,2.6,1.8,0.7,0.4,0
DeMarre Carroll,83.6,7,5.8,3.8,3.1,1.2,0.5,0.5,0.1
Joe Graboski,83.5,7.2,5.8,2.3,2,1.1,0.7,0.6,-0.1
Bison Dele,83.3,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2
Greg Smith,82.8,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0
Josh McRoberts,82.1,6.5,4.9,2.2,1.5,1.4,0.4,0.4,0.1
Ernie Vandeweghe,81.4,7.1,4.8,3.9,2.1,0.3,-0.1,NA,NA
