Season,Team,Lg,Salary
1994-95,Golden State Warriors,NBA,"$650,000"
1995-96,Golden State Warriors,NBA,"$845,000"
1996-97,Orlando Magic,NBA,"$1,040,000"
1997-98,Orlando Magic,NBA,"$750,000"
1997-98,Minnesota Timberwolves,NBA,"$272,250"
Career,(may be incomplete),,"$3,557,250"
