Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Clifford Rozier,,1.6,1.3,1.1,-0.1,NA,NA,NA,NA,NA,NA
David Harrison,75.7,1.5,1.4,0.4,-0.2,NA,NA,NA,NA,NA,NA
Jelani McCoy,73.6,1.5,1.4,1.1,1,0.1,0,0,0,NA,NA
Bob Elliott,71.6,1.6,0.8,0.7,NA,NA,NA,NA,NA,NA,NA
Joffrey Lauvergne,71.1,2.3,1.5,1.3,0.1,NA,NA,NA,NA,NA,NA
Jawann Oldham,69.3,1.3,1.2,1,0.5,0.3,0,0,0,0,0
Charlie Tyra,69.0,2.3,1.5,1.1,0.2,-0.2,NA,NA,NA,NA,NA
Jahlil Okafor,67.0,2.2,1.2,1.2,0.6,NA,NA,NA,NA,NA,NA
George Nostrand,64.2,2,2,1.3,0.4,NA,NA,NA,NA,NA,NA
Earl Williams,63.3,1.3,1,0.4,0,NA,NA,NA,NA,NA,NA
Predrag Drobnjak,60.6,2.4,1.6,1,0.7,NA,NA,NA,NA,NA,NA
