Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Clifford Rozier,,1.6,1.3,1.1,-0.1
Jelani McCoy,93.3,1.5,1.4,1.1,0.1
Paul Mokeski,87.4,1.7,1.4,0.8,-0.1
Eric Leckner,82.2,1.7,1.5,0.9,0.2
Mark West,80.0,1.9,1.1,0.9,-0.1
Charlie Tyra,76.4,2.3,1.5,1.1,-0.2
Dick Cunningham,75.8,1.2,1,1,0
David Harrison,75.7,1.5,1.4,0.4,-0.2
Ryan Hollins,75.4,1.2,1.1,1,0.2
Walt Wesley,73.9,1.7,1.2,0.7,-0.4
Adonal Foyle,73.6,1.9,1.1,0.7,-0.1
