Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,23,ATL,NBA,,11,,2.6,0.2,0.8,.222,,,,0.2,0.8,.222,.222,0.3,0.6,.429,,,0.9,0.1,,,0.7,0.6
1969-70,24,DNR,ABA,,7,,12.4,1.4,3.4,.417,0.0,0.1,.000,1.4,3.3,.435,.417,1.3,2.7,.474,2.3,3.1,5.4,0.6,,2.3,1.7,4.1
1970-71,25,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1971-72,26,DNR,ABA,,2,,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.5,2.0,2.5,0.5,,0.5,1.5,2.0
Career,NA,,TOT,,20,,6.3,0.7,1.9,.378,0.0,0.1,.000,0.7,1.8,.389,.378,0.6,1.3,.462,1.9,2.9,2.7,0.3,,1.9,1.2,2.0
,NA,,NBA,,11,,2.6,0.2,0.8,.222,,,,0.2,0.8,.222,.222,0.3,0.6,.429,,,0.9,0.1,,,0.7,0.6
,NA,,ABA,,9,,10.8,1.3,3.1,.429,0.0,0.1,.000,1.3,3.0,.444,.429,1.0,2.1,.474,1.9,2.9,4.8,0.6,,1.9,1.7,3.7
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,NA,ATL,NBA,,11,,2.6,0.2,0.8,.222,,,,0.2,0.8,.222,.222,0.3,0.6,.429,,,0.9,0.1,,,0.7,0.6
2 seasons,NA,DNR,ABA,,9,,10.8,1.3,3.1,.429,0.0,0.1,.000,1.3,3.0,.444,.429,1.0,2.1,.474,1.9,2.9,4.8,0.6,,1.9,1.7,3.7
