,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,BLK,TOV,PF,PTS
1968-69,23,ATL,NBA,,1,4,,,,,2,3,,,5,1,,,2,3
1969-70,24,DNR,ABA,,3,,0,,,,3,7,,,,,,,,8
1971-72,26,DNR,ABA,,2,,0,,,,0,0,,,,,,,,4
Career,,,TOT,,3,,,,,,3,7,,,,,,,,8
,,,NBA,,1,4,,,,,2,3,,,5,1,,,2,3
,,,ABA,,3,,0,,,,3,7,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,
1 Season,,ATL,NBA,,1,4,,,,,2,3,,,5,1,,,2,3
2 Seasons,,DNR,ABA,,3,,0,,,,3,7,,,,,,,,8
