Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Roger Brown,,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8,NA,NA,NA
Jimmy Butler,92.9,13.8,11.2,9.1,8.9,7.9,7.1,7,1.1,NA,NA,NA
Paul George,91.6,11.9,10.8,9.2,9,8.9,7.1,6,2.4,0,NA,NA
Kawhi Leonard,90.0,13.7,13.6,9.5,8.6,7.7,6.2,5.5,0.9,NA,NA,NA
Rudy Tomjanovich,89.7,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1
George Yardley,88.2,12.3,10,9,7.6,7.5,6.8,5.3,NA,NA,NA,NA
Kenny Sears,85.7,13.3,10,8.8,8,6.2,4,3.7,1.8,NA,NA,NA
Anthony Davis,85.4,14,13.7,11,10.4,9.5,7.2,6.1,NA,NA,NA,NA
Calvin Natt,84.6,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0
Connie Hawkins,84.5,17.9,11.3,10.2,9.6,8.6,7.5,7.1,3.5,1.1,NA,NA
Blake Griffin,84.1,12.2,10.6,9.8,9.2,9,8,7.7,4.9,3.8,NA,NA
