Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Roger Brown,,13.3,10.9,10,9.3,7.3,6.5,6.1,1.8
Peja Stojaković,93.8,13.5,10.1,10.1,9.9,8,7.3,4.8,1.7
Jimmy Butler,92.9,13.8,11.2,9.1,8.9,7.9,7.1,7,1.1
Shawn Kemp,91.5,11.7,11.2,10.6,10,9.1,6.7,6.1,2.1
Cliff Hagan,91.0,11.8,11.7,10.8,10,8.5,6.5,6,1.3
Kevin Love,90.7,14.3,11.4,10,8.7,8.5,5.3,4.9,1.1
Billy Cunningham,90.5,11.9,10.3,10,9,8.3,6.8,6.4,5
Horace Grant,90.1,14.1,10.3,10,9.5,9.1,8,6.4,4.2
Vern Mikkelsen,90.1,13.2,12,10.9,9.2,8.9,6.6,6.1,5.4
Kawhi Leonard,90.0,13.7,13.6,9.5,8.6,7.7,6.2,5.5,0.9
Blake Griffin,89.5,12.2,10.6,9.8,9.2,9,7.7,4.9,3.8
