Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Clint Capela,,10.8,10.2,5.9,4.4,0
Al Horford,90.7,10.9,10.1,6.8,5.5,1.3
Ed Sadowski,85.3,11.8,10.7,9.3,4.3,NA
Zelmo Beaty,85.1,10.8,10.3,5.2,4.8,4.5
Bill Walton,79.9,10.2,8.4,3.8,3.6,0.8
Brook Lopez,79.6,9,7.9,6.3,5.8,0.3
Hassan Whiteside,79.6,10.3,9.5,5.3,0.2,0
Nikola Jokić,79.5,11.8,10.7,9.7,6.7,NA
Arnie Risen,78.8,10.6,9.3,6.8,5.8,4.6
Brad Daugherty,78.1,9.6,9,6.6,6,3.1
Bill Laimbeer,77.9,10.8,9.8,8.5,5.4,4.7
