Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1974-75,24,HOU,NBA,PF,8,NA,152,25,42,0.595,6,16,0.375,12,24,36,15,9,2,18,56
Career,NA,,NBA,,8,NA,152,25,42,0.595,6,16,0.375,12,24,36,15,9,2,18,56
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,HOU,NBA,,8,NA,152,25,42,0.595,6,16,0.375,12,24,36,15,9,2,18,56
