Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Ron Riley,,1.6,0.7,0.2,0
Chris McNealy,97.1,1.6,0.8,0.2,NA
Ron Bonham,91.3,1.8,0.7,0.2,NA
Chris Singleton,89.6,1.5,0.5,0.2,NA
Boštjan Nachbar,87.5,1.7,0.8,0.1,-0.1
Jim Holstein,85.2,1.8,0.6,0.2,NA
Kevin Loder,84.8,1.5,0.9,0.1,NA
Adrian Branch,84.0,1.5,0.7,0,-0.1
Joey Dorsey,83.4,1.9,0.8,0.1,0
Reggie Slater,81.1,1.5,0.8,0.4,-0.1
Lou Tsioropoulos,81.1,1.4,0.7,0,NA
