Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Isaiah Thomas,,12.5,9.7,7.7,6.1,5,4.3,0.2,-0.3
James Silas,89.8,13.1,9.8,7.9,7.4,5.7,5.5,0.7,0.6
Jeff Mullins,88.1,10,9.9,8.2,6.8,5.7,4.5,0.8,-0.3
Kenny Anderson,85.5,12.4,7.7,7.5,6.8,4.4,3.7,2.4,0.5
Steve Nash,85.0,11.6,9.9,8.8,8.4,4.8,3,1,0.7
Kevin Martin,84.0,10.2,9.5,8.4,5.5,4.7,4.2,3.3,0.1
Gail Goodrich,83.0,12.3,8.1,6.7,6.4,6.3,4.4,3.6,0.7
Anfernee Hardaway,82.8,14.4,10.7,8.1,7.8,7.1,5,1.1,0.4
Mookie Blaylock,82.6,12.5,10.2,9.4,9,7,4.9,2.1,-0.3
Michael Redd,82.6,10.8,9.7,8,6.2,6.1,5.8,4.6,-0.1
Rajon Rondo,82.4,9.9,9.6,7.2,6.6,4.9,3.2,2.4,1.1
