Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Isaiah Thomas,,12.5,9.7,7.7,6.1,5,4.3,0.2,-0.3,NA,NA,NA,NA
Steve Francis,81.7,12.2,11.1,7.1,6.4,6.2,4.4,3.6,2.9,0.2,NA,NA,NA
Doug Collins,80.0,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,NA,NA,NA,NA
Kemba Walker,78.4,9.9,8.6,8.1,7.4,5.1,4.8,4.5,0.3,NA,NA,NA,NA
Phil Chenier,77.5,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1,NA,NA
Brandon Roy,76.9,13.5,9.1,8,4.8,2.1,0,NA,NA,NA,NA,NA,NA
James Silas,76.6,13.1,9.8,7.9,7.4,7,5.7,5.5,2.4,0.7,0.6,NA,NA
Jim Paxson,76.3,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,NA
Michael Redd,76.2,10.8,9.7,8,6.2,6.1,5.8,4.6,3.2,0.8,0.6,0.1,-0.1
Paul Pressey,75.5,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3,2,0.3,0.1,NA
Larry Jones,74.7,11.8,10.9,10.6,8.8,8.1,3.7,2.9,-0.3,NA,NA,NA,NA
