Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Adrian Branch,,1.5,0.7,0,-0.1,NA
Lou Tsioropoulos,86.9,1.4,0.7,0,NA,NA
Kevin Loder,86.6,1.5,0.9,0.1,NA,NA
Ron Riley,84.0,1.6,0.7,0.2,0,NA
Mario Bennett,83.6,1.5,0.5,0,-0.1,NA
Brian Rowsom,81.5,1.5,1,0,NA,NA
Chris McNealy,81.1,1.6,0.8,0.2,NA,NA
Alec Kessler,80.9,1.2,0.8,0.1,-0.1,NA
Chris Singleton,77.0,1.5,0.5,0.2,NA,NA
Bob McCann,76.7,1.3,0.6,0.1,0.1,0
Ron Bonham,75.9,1.8,0.7,0.2,NA,NA
