Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kim Hughes,,6.8,2.3,2.2,2.2,0.4,-0.1
Dean Garrett,85.7,6.2,2.9,2.2,1.9,1,-0.1
Zaid Abdul-Aziz,84.8,6.5,2,1.9,1.8,1,-0.3
Todd MacCulloch,81.9,5.6,2.5,2.2,1.7,NA,NA
Melvin Turpin,81.7,6,3.1,2.1,1.8,0.8,NA
Chris Kaman,79.0,6.1,3.6,2.9,2.1,0.6,0
Kosta Koufos,78.9,6.5,3.5,2.7,1.3,0.2,0
Mark Blount,77.8,6.5,2.8,1.9,1.7,1.7,0.7
Bryant Reeves,76.5,4.9,2.9,2.4,2.3,0.6,-0.1
Chick Halbert,74.4,7.4,3.6,3.3,2.9,NA,NA
Bill McGill,74.1,7.1,4.6,3.1,2.2,-0.1,NA
