Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Kim Hughes,,6.8,2.3,2.2,2.2,0.4,-0.1,NA,NA,NA,NA
Dean Garrett,85.7,6.2,2.9,2.2,1.9,1,-0.1,NA,NA,NA,NA
Todd MacCulloch,81.9,5.6,2.5,2.2,1.7,NA,NA,NA,NA,NA,NA
Melvin Turpin,81.7,6,3.1,2.1,1.8,0.8,NA,NA,NA,NA,NA
Bryant Reeves,76.5,4.9,2.9,2.4,2.3,0.6,-0.1,NA,NA,NA,NA
Chick Halbert,74.4,7.4,3.6,3.3,2.9,NA,NA,NA,NA,NA,NA
Bill McGill,74.1,7.1,4.6,3.1,2.2,-0.1,NA,NA,NA,NA,NA
Jusuf Nurkić,71.8,7.8,4.7,2,1.6,0.4,NA,NA,NA,NA,NA
Fabricio Oberto,68.2,6.1,4.1,1.7,1.1,0.6,0,NA,NA,NA,NA
Mark Blount,67.4,6.5,2.8,2.8,1.9,1.7,1.7,0.7,0.7,-0.1,NA
Zaid Abdul-Aziz,66.7,6.5,3.7,2,1.9,1.8,1,0.6,0.3,0.1,-0.3
