Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Elliot Perry,,5.2,3.2,3.1,1.3,0.9,0.6,0.3,-0.1,-0.1,-0.4,NA
Scott Burrell,86.3,5.6,3.7,3.2,1.4,1.1,0.8,0.5,0.1,NA,NA,NA
Slick Watts,86.0,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA,NA
Malik Sealy,83.5,5.5,3.2,3.2,2.1,1.2,1.1,0.6,0.2,NA,NA,NA
Luther Head,83.4,5.7,3.5,3.5,0.9,0.6,0.6,NA,NA,NA,NA,NA
Erick Strickland,82.5,4.9,3.8,2.7,1.3,0.8,0.8,0.3,-0.3,-0.9,NA,NA
Mitchell Wiggins,81.4,5.4,3.5,3.3,2,1.2,-0.1,NA,NA,NA,NA,NA
Ron Brewer,80.9,5.6,4.3,3.3,1.6,1.4,0.8,0.3,0.1,NA,NA,NA
Kevin Edwards,80.7,5.1,2.5,2.4,1.6,0.6,0.5,0.3,0.1,-0.1,-0.2,-0.2
Billy Kenville,79.6,4.5,3.9,3,1.4,0.5,0.4,NA,NA,NA,NA,NA
Roger Mason,79.6,4.7,3.4,1.9,1.4,0.9,0.3,0.2,0.1,0.1,-0.1,NA
