Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Paul Mokeski,,3.4,1.7,1.6,1.4,1.3,1.1,1,0.9,0.8,0.3,0.2,-0.1
Sean Rooks,75.1,3,2.3,2.2,1.8,1.8,1.5,1.1,1.1,0.6,0.4,0.3,0.2
Michael Doleac,74.2,3,2.2,1.9,1.7,1.5,1.2,0.6,0.3,0.3,0,NA,NA
Bill Wennington,71.9,3.5,2.8,2.3,2.1,2,1.3,1.2,0.9,0.8,0.5,0.4,-0.3
Ryan Hollins,71.1,1.8,1.7,1.3,1.2,1.1,1,1,1,0.2,0.2,NA,NA
Cherokee Parks,70.0,3.8,2.2,1.9,1.4,1.2,0.9,0.2,0.1,0,NA,NA,NA
Duane Causwell,68.4,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0,NA
Connie Dierking,68.1,4.2,3,1.5,1.4,1,0.7,0.5,0.5,0.3,0.1,NA,NA
Vitaly Potapenko,68.0,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1,NA
Adonal Foyle,67.0,4,3.4,2.8,1.9,1.3,1.2,1.1,1.1,1,0.7,0.3,-0.1
Joe Kleine,66.4,3.1,2.6,2.6,2.3,1.6,1.5,1.4,1.2,1,0.9,0.4,0.1
