,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,23,CHI,NBA,,3,6,,,,,0,0,,,2,0,,,,1,6
1970-71,24,CHI,NBA,,8,17,,,,,4,5,,,8,5,,,,5,20
1971-72,25,NYA,ABA,,9,,0,,,,7,8,,,,,,,,,25
1972-73,26,NYA,ABA,,9,,0,,,,7,9,,,,,,,,,22
1973-74,27,TOT,ABA,,12,,0,,,,6,6,,,,,,,,,25
1973-74,27,MMT,ABA,,12,,0,,,,6,6,,,,,,,,,25
1973-74,27,INA,ABA,,6,,0,,,,2,4,,,,,,,,,12
Career,,,TOT,,12,,,,,,7,9,,,,,,,,,25
,,,NBA,,8,17,,,,,4,5,,,8,5,,,,5,20
,,,ABA,,12,,0,,,,7,9,,,,,,,,,25
,,,,,,,,,,,,,,,,,,,,,
2 Seasons,,NYA,ABA,,9,,0,,,,7,9,,,,,,,,,25
2 Seasons,,CHI,NBA,,8,17,,,,,4,5,,,8,5,,,,5,20
1 Season,,MMT,ABA,,12,,0,,,,6,6,,,,,,,,,25
1 Season,,INA,ABA,,6,,0,,,,2,4,,,,,,,,,12
