Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Johnny Baum,,2,1.9,1.5,0.4,-0.1,NA
Dorie Murrey,88.7,2.2,1.9,1.6,0.5,0.2,0.1
Terry Driscoll,85.1,1.7,1.7,1.5,0.3,0,NA
James Hardy,81.7,2.5,1.8,1.3,0.7,NA,NA
Ben Coleman,81.1,2,1.8,0.8,0.5,0,NA
Bob Brannum,80.0,2,1.6,1.1,0.8,0,NA
Chuck Terry,79.7,2.3,2.1,1.2,0.7,0.1,NA
Thon Maker,79.2,2,1.5,1.3,NA,NA,NA
Donnell Harvey,77.0,2,1.8,0.7,0.2,0.1,NA
Togo Palazzi,76.2,2,1.7,1.6,0.8,0.6,-0.2
Lamar Green,76.0,2.4,2,1.9,0.5,0.4,0.2
