Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Johnny Baum,,2,1.9,1.5,0.4,-0.1
Dorie Murrey,90.5,2.2,1.9,1.6,0.5,0.2
Chucky Brown,87.8,2.2,2.2,1.6,0.3,0
Samaki Walker,87.8,2,1.9,1.4,0.6,0.5
Wesley Johnson,86.0,1.9,1.7,1.3,0.6,0
Terry Driscoll,85.1,1.7,1.7,1.5,0.3,0
James Hardy,81.7,2.5,1.8,1.3,0.7,NA
McCoy McLemore,81.5,2.7,1.8,1.7,0.4,-0.3
Ben Coleman,81.1,2,1.8,0.8,0.5,0
Justin Holiday,81.1,2.5,1.7,1.3,0.6,-0.1
Lamar Green,80.8,2.4,2,1.9,0.5,0.2
