Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Emanual Davis,,1.8,0.5,0.3,0.3,-0.1,-0.3
Felipe López,83.1,1.9,0.5,0.4,0.3,NA,NA
Bubbles Hawkins,76.6,1.9,0.6,0.3,0.1,NA,NA
Kevin Williams,75.5,1.9,0.6,0.1,0.1,-0.1,NA
Trajan Langdon,71.7,2,0.6,0.3,NA,NA,NA
Kedrick Brown,71.1,2,0.5,0.4,0.1,NA,NA
Treveon Graham,70.9,1.8,0.5,0.4,NA,NA,NA
John Jenkins,70.1,1.7,0.9,0.2,0.2,0,-0.1
Gary Phillips,68.8,1.7,0.3,0.2,0.2,-0.1,NA
Patrick McCaw,67.1,1.7,0.6,0.5,NA,NA,NA
James Anderson,66.9,1.9,0.9,0.5,0.3,-0.3,NA
