Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Khris Middleton,,6.9,6.7,6.1,6.1,2.7,1.6,0.9,NA,NA,NA
Trooper Washington,87.9,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA
Curtis Perry,86.2,7.6,6,5.3,4.8,2.8,1.7,1.3,0.2,NA,NA
Sonny Parker,84.7,7,6.8,6.2,3,2.3,1.6,NA,NA,NA,NA
Mitch Kupchak,83.9,5.9,5.9,5.2,4.9,2.4,1.4,1.1,0.2,0,NA
Chandler Parsons,83.5,7.6,7,5.5,4.3,3.4,1.1,0.2,0,NA,NA
Campy Russell,82.9,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,NA
Curtis Rowe,82.4,8.3,6.2,6.1,5.2,5.2,2.3,0.9,0,NA,NA
Jay Vincent,81.6,6.5,6,5.6,3.4,2.8,1.9,1.1,0.5,-0.3,NA
Reggie Williams,81.5,6.6,5.9,5.8,4.8,3.3,0.4,0.3,0.1,0,-1.1
Jae Crowder,81.2,7.3,6.7,4.4,3.9,2.6,2.3,1.5,NA,NA,NA
