,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2012-13,21,DET,NBA,SG,27,475,.440,14.7,.681,.206,.142,.121,.213,.319,.500,.655,.400,.647,.333,.311,.625,.035,5,1.000,.689,.387,2,0
2013-14,22,MIL,NBA,SF,82,2460,.440,15.9,.660,.170,.111,.133,.246,.340,.454,.552,.316,.465,.443,.414,.688,.011,9,.958,.324,.415,2,0
2014-15,23,MIL,NBA,SF,79,2378,.467,15.3,.692,.176,.112,.159,.245,.308,.494,.621,.474,.449,.441,.407,.596,.018,16,.982,.399,.523,0,0
2015-16,24,MIL,NBA,SG,79,2852,.444,15.2,.684,.146,.123,.189,.226,.316,.466,.635,.397,.440,.415,.396,.415,.020,22,.888,.224,.432,2,0
2016-17,25,MIL,NBA,SF,29,889,.450,15.1,.688,.126,.201,.186,.174,.312,.459,.643,.403,.419,.431,.433,.495,.003,1,.889,.279,.414,0,0
2017-18,26,MIL,NBA,SF,82,2982,.466,15.1,.680,.140,.133,.218,.189,.320,.517,.629,.444,.545,.452,.359,.427,.023,27,.842,.199,.432,1,0
2018-19,27,MIL,NBA,SF,77,2393,.441,15.9,.587,.171,.159,.145,.112,.413,.485,.592,.429,.461,.434,.378,.327,.017,19,.603,.127,.317,0,0
2019-20,28,MIL,NBA,SF,55,1653,.499,16.6,.626,.129,.128,.198,.171,.374,.547,.691,.459,.518,.538,.418,.395,.013,11,.707,.151,.521,1,0
Career,,,NBA,,510,16082,.458,15.6,.657,.154,.133,.175,.194,.343,.492,.619,.420,.485,.445,.392,.468,.017,110,.819,.234,.439,8,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 seasons,,MIL,NBA,,483,15607,.458,15.6,.656,.153,.133,.177,.194,.344,.492,.618,.421,.482,.448,.394,.464,.017,105,.816,.225,.442,6,0
1 season,,DET,NBA,,27,475,.440,14.7,.681,.206,.142,.121,.213,.319,.500,.655,.400,.647,.333,.311,.625,.035,5,1.000,.689,.387,2,0
