Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Khris Middleton,,6.9,6.7,6.1,6.1,2.7,1.6,0.9
Campy Russell,90.5,6.7,6.7,6.6,5.5,4.3,1.8,1.1
Wil Jones,88.9,7.4,6.9,6,5.4,4,2.3,0.6
Troy Murphy,88.5,6.5,6.4,6.2,5.3,4.5,1.4,1.3
Tobias Harris,88.3,6.8,6.7,6.6,4.8,4.1,2.4,0.9
Trooper Washington,87.9,8.3,6.9,6.3,6,3.4,2.2,NA
Dave Greenwood,86.8,7.1,6.5,6.5,5.7,3.6,3.4,2
Ersan İlyasova,86.7,6.7,6.4,5.8,4,3.8,1.6,1
Danilo Gallinari,86.5,7.2,6.3,6.1,5.6,3.9,3.9,1
Raef LaFrentz,86.4,7.5,6.8,6.4,5.9,5.8,1.2,0.9
Bryon Russell,86.4,8.8,7.4,6,5.6,2.1,1.4,0.8
