Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1994-95,26,CHI,NBA,SF,10,0,104,4.7,11.1,0.429,0,1.1,0,4.7,10,0.474,1.1,2.1,0.5,5.8,4.7,10.5,2.6,2.1,1.6,1.6,7.9,10.5,NA,106,110
1995-96,27,CHI,NBA,SF,17,0,127,7.8,16.5,0.474,3.5,9.1,0.381,4.4,7.4,0.588,0.9,1.7,0.5,0.9,3.5,4.4,2.6,3,0,3.5,5.7,20,NA,105,100
1996-97,28,CHI,NBA,SF,18,0,138,5.3,12.6,0.419,1.6,4.9,0.333,3.7,7.7,0.474,1.2,2,0.6,3.7,5.7,9.4,2,1.2,0.4,0.4,6.1,13.4,NA,120,105
1997-98,29,CHI,NBA,SF,16,0,64,3.6,9.8,0.364,2.7,4.5,0.6,0.9,5.4,0.167,0,0,NA,3.6,6.2,9.8,2.7,2.7,0.9,0.9,6.2,9.8,NA,119,101
1998-99,30,DET,NBA,SF,5,0,84,2.2,10.8,0.2,1.4,5.8,0.25,0.7,5.1,0.143,0,0,NA,2.9,6.5,9.4,2.2,2.2,0.7,2.2,4.3,5.8,NA,67,103
1999-00,31,DET,NBA,SF,3,0,34,3.1,11,0.286,3.1,7.9,0.4,0,3.1,0,0,0,NA,0,6.3,6.3,1.6,0,1.6,0,6.3,9.4,NA,91,102
2001-02,33,ORL,NBA,SF,2,0,10,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,5.4,5.4,5.4,5.4,0,0,0,0,NA,213,100
Career,NA,,NBA,,71,0,561,4.9,12.3,0.398,1.9,5.3,0.358,3,7,0.429,0.7,1.3,0.538,3,5.2,8.2,2.4,2.1,0.7,1.6,6,12.4,NA,104,104
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CHI,NBA,,61,0,433,5.7,13,0.436,1.9,5.1,0.375,3.7,7.8,0.475,0.9,1.7,0.538,3.3,4.9,8.2,2.4,2.2,0.6,1.7,6.4,14.2,NA,111,104
2 seasons,NA,DET,NBA,,8,0,118,2.5,10.9,0.227,2,6.4,0.308,0.5,4.5,0.111,0,0,NA,2,6.4,8.4,2,1.5,1,1.5,5,6.9,NA,74,103
1 season,NA,ORL,NBA,,2,0,10,0,0,NA,0,0,NA,0,0,NA,0,0,NA,0,5.4,5.4,5.4,5.4,0,0,0,0,NA,213,100
