Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1953-54,22,TOT,NBA,,8,60,10.8,0.505,1.1,NA,NA,NA,NA,NA,0.1,0,0.2,0.138
1953-54,22,BLB,NBA,,4,36,1.1,0.458,1.2,NA,NA,NA,NA,NA,0,0,0,0.042
1953-54,22,MLH,NBA,,4,24,25.4,0.556,1,NA,NA,NA,NA,NA,0.1,0,0.1,0.282
1954-55,23,NYK,NBA,PF,37,503,10.9,0.408,0.266,NA,NA,NA,NA,NA,-0.2,0.5,0.4,0.034
1955-56,24,NYK,NBA,SF,58,779,12.9,0.444,0.343,NA,NA,NA,NA,NA,0.4,0.5,0.9,0.057
Career,NA,,NBA,,103,1342,12.1,0.434,0.332,NA,NA,NA,NA,NA,0.4,1.1,1.5,0.052
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,95,1282,12.1,0.432,0.316,NA,NA,NA,NA,NA,0.2,1,1.3,0.048
1 season,NA,MLH,NBA,,4,24,25.4,0.556,1,NA,NA,NA,NA,NA,0.1,0,0.1,0.282
1 season,NA,BLB,NBA,,4,36,1.1,0.458,1.2,NA,NA,NA,NA,NA,0,0,0,0.042
