Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1953-54,22,TOT,NBA,,8,NA,60,1.8,6,0.3,5.4,6.6,0.818,7.2,1.8,9,9
1953-54,22,BLB,NBA,,4,NA,36,1,5,0.2,5,6,0.833,2,0,9,7
1953-54,22,MLH,NBA,,4,NA,24,3,7.5,0.4,6,7.5,0.8,15,4.5,9,12
1954-55,23,NYK,NBA,PF,37,NA,503,4.4,12.1,0.367,2.1,3.2,0.667,11,2.2,5.7,11
1955-56,24,NYK,NBA,SF,58,NA,779,5.6,14,0.399,3.1,4.8,0.654,10.3,2,5.7,14.3
Career,NA,,NBA,,103,NA,1342,5,12.9,0.386,2.9,4.3,0.669,10.4,2.1,5.8,12.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYK,NBA,,95,NA,1282,5.1,13.3,0.388,2.8,4.2,0.658,10.6,2.1,5.7,13
1 season,NA,MLH,NBA,,4,NA,24,3,7.5,0.4,6,7.5,0.8,15,4.5,9,12
1 season,NA,BLB,NBA,,4,NA,36,1,5,0.2,5,6,0.833,2,0,9,7
