Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Von Wafer,,2.6,1.1,0.4,0,-0.3,-0.5
Cory Alexander,71.4,2.2,1.1,0.2,-0.1,-0.1,-0.3
John Lucas III,69.5,2.2,1.1,0.6,0,-0.1,-0.7
Johnny McCarthy,68.0,2.6,1.9,0.5,0.2,-0.1,-0.4
Franklin Edwards,67.7,2.7,0.8,0.6,0.2,0.1,-0.3
Harold Ellis,65.1,2.8,0.9,0.9,NA,NA,NA
Kenny Rollins,63.9,2.6,1.5,0.1,NA,NA,NA
David Nwaba,63.3,2.4,1.4,0.8,NA,NA,NA
Kevin O'Shea,63.3,2.1,1.2,0.5,NA,NA,NA
Chink Crossin,62.5,2.1,1.2,0.5,NA,NA,NA
Ian Clark,61.9,2.3,1.1,0.9,0.2,-0.1,-0.1
