Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Von Wafer,,2.6,1.1,0.4,0,-0.3,-0.5,NA
Johnny McCarthy,68.0,2.6,1.9,0.5,0.2,-0.1,-0.4,NA
Harold Ellis,65.1,2.8,0.9,0.9,NA,NA,NA,NA
Kenny Rollins,63.9,2.6,1.5,0.1,NA,NA,NA,NA
David Nwaba,63.3,2.4,1.4,0.8,NA,NA,NA,NA
Kevin O'Shea,63.3,2.1,1.2,0.5,NA,NA,NA,NA
Chink Crossin,62.5,2.1,1.2,0.5,NA,NA,NA,NA
Cory Alexander,62.4,2.2,1.1,0.2,0,-0.1,-0.1,-0.3
Ian Clark,61.9,2.3,1.1,0.9,0.2,-0.1,-0.1,NA
Johnny High,61.0,2.5,1.2,1.1,-0.1,NA,NA,NA
Courtney Alexander,60.7,2.2,1.1,0.8,NA,NA,NA,NA
