Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Royal Ivey,,1,0.9,0.7,0.6,0.5,0.3,0.2,0.2,0.2,0
Sebastian Telfair,76.2,1.1,0.8,0.8,0.7,0.6,0.5,0.4,0.3,0.1,-0.4
Michael Carter-Williams,63.6,1.3,1.2,0.9,0.8,0.8,0.2,NA,NA,NA,NA
Brook Steppe,63.4,1.3,1.1,1,0.7,0.6,NA,NA,NA,NA,NA
Mitchell Butler,57.9,1.1,0.6,0.5,0.5,0.3,0.1,0.1,-0.2,NA,NA
John Warren,57.6,1.7,0.9,0.8,0.5,0.3,NA,NA,NA,NA,NA
Kevin McKenna,56.3,1.7,0.9,0.7,0.6,0.5,-0.3,NA,NA,NA,NA
Nik Stauskas,55.4,1.4,1.1,0.5,0.5,0.3,NA,NA,NA,NA,NA
MarShon Brooks,55.1,1.3,0.8,0.7,0.4,0.1,NA,NA,NA,NA,NA
Reggie Jordan,55.0,1.2,0.8,0.6,0.4,0.3,-0.2,NA,NA,NA,NA
Rodney Buford,54.2,0.8,0.8,0.8,0.6,-0.2,NA,NA,NA,NA,NA
