Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,NA,ANA,ABA,NA,12,NA,78,8,33,0.242,0,5,0,8,28,0.286,0.242,11,13,0.846,NA,NA,16,1,7,17,27
Career,NA,,ABA,NA,12,NA,78,8,33,0.242,0,5,0,8,28,0.286,0.242,11,13,0.846,NA,NA,16,1,7,17,27
