Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1962-63,22,CHZ,NBA,SF,62,1071,13.8,0.537,0.754,NA,NA,NA,NA,NA,NA,NA,1.8,0.3,2.1,0.094,NA,NA,NA,NA,NA
1963-64,23,LAL,NBA,SF,80,1406,10.6,0.509,0.622,NA,NA,NA,NA,NA,NA,NA,1.5,0.8,2.3,0.08,NA,NA,NA,NA,NA
1964-65,24,LAL,NBA,SF,39,238,14,0.477,0.306,NA,NA,NA,14.2,NA,NA,NA,0.2,0.2,0.4,0.08,NA,NA,NA,NA,NA
1965-66,25,BOS,NBA,SF,75,1765,13.3,0.502,0.528,NA,NA,NA,5.9,NA,NA,NA,2.3,3.1,5.4,0.146,NA,NA,NA,NA,NA
1966-67,26,BOS,NBA,SF,79,1202,14.3,0.502,0.373,NA,NA,NA,7.1,NA,NA,NA,1.5,1.8,3.3,0.131,NA,NA,NA,NA,NA
1967-68,27,BOS,NBA,SF,82,1498,18.2,0.546,0.424,NA,NA,NA,9.5,NA,NA,NA,3.6,2.6,6.1,0.197,NA,NA,NA,NA,NA
1968-69,28,BOS,NBA,SF,82,1773,17.5,0.536,0.336,NA,NA,NA,7.5,NA,NA,NA,4.2,3.3,7.5,0.203,NA,NA,NA,NA,NA
1969-70,29,BOS,NBA,PF,82,2224,18.5,0.566,0.473,NA,NA,NA,9.3,NA,NA,NA,5.7,2.6,8.3,0.18,NA,NA,NA,NA,NA
1970-71,30,BOS,NBA,SF,82,2254,15.9,0.534,0.484,NA,NA,10.8,8.7,NA,NA,NA,4.2,3.2,7.4,0.157,NA,NA,NA,NA,NA
1971-72,31,BOS,NBA,PF,82,2086,17.7,0.561,0.557,NA,NA,9.9,11.8,NA,NA,NA,5.4,3.4,8.8,0.202,NA,NA,NA,NA,NA
1972-73,32,BOS,NBA,SF,72,1425,16.8,0.531,0.29,NA,NA,10,9.6,NA,NA,NA,3,2.8,5.8,0.194,NA,NA,NA,NA,NA
1973-74,33,BOS,NBA,SF,82,1748,16.1,0.563,0.381,5.1,13.7,9.5,13.1,0.5,0.4,NA,4,1.9,5.9,0.162,NA,1.1,-0.2,0.8,1.3
1974-75,34,BOS,NBA,SF,79,2052,18.1,0.6,0.405,6.2,16.4,11.4,12.6,0.7,0.4,NA,6.2,2.5,8.7,0.204,NA,2.2,0.2,2.4,2.3
1975-76,35,BOS,NBA,SF,75,943,15.1,0.53,0.425,5.8,13.2,9.5,11.5,0.7,0.4,NA,1.7,0.9,2.6,0.134,NA,0.4,-0.4,0,0.5
Career,NA,,NBA,,1053,21685,16.1,0.544,0.447,5.7,14.8,10.3,9.8,0.6,0.4,NA,45.1,29.5,74.6,0.165,NA,1.4,-0.1,1.3,4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11 seasons,NA,BOS,NBA,,872,18970,16.7,0.546,0.43,5.7,14.8,10.3,9.7,0.6,0.4,NA,41.6,28.2,69.7,0.176,NA,1.4,-0.1,1.3,4
2 seasons,NA,LAL,NBA,,119,1644,11.1,0.503,0.556,NA,NA,NA,14.2,NA,NA,NA,1.7,1,2.7,0.08,NA,NA,NA,NA,NA
1 season,NA,CHZ,NBA,,62,1071,13.8,0.537,0.754,NA,NA,NA,NA,NA,NA,NA,1.8,0.3,2.1,0.094,NA,NA,NA,NA,NA
