Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Rafael Addison,,1.5,1.5,0.9,0.4,0.4,0.2,NA,NA
Anthony Randolph,84.3,1.6,1.5,1.1,0.6,0.5,0.5,NA,NA
Reggie Slater,83.3,1.8,1.5,0.8,0.5,0.4,0.2,0.1,-0.1
Tony Brown,81.7,1.8,1.3,0.9,0.5,0.2,0.2,0,NA
Thomas Robinson,81.5,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA
Charles Pittman,80.9,1.7,1.5,0.9,0.1,NA,NA,NA,NA
Solomon Jones,78.6,1.9,1.6,0.8,0.5,0.3,0,0,-0.1
Dominic McGuire,78.1,1.7,1.5,0.9,0.3,0,-0.2,NA,NA
Cliff Meely,76.7,1.8,1.2,1,0.4,0.2,NA,NA,NA
John Wallace,75.4,1.6,1.5,1,1,0.7,0.3,0.3,NA
Hilton Armstrong,75.1,1.5,1.2,0.5,0.5,0.3,-0.1,NA,NA
