Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Rafael Addison,,1.5,1.5,0.9,0.4,0.4,0.2
Anthony Randolph,84.3,1.6,1.5,1.1,0.6,0.5,0.5
Reggie Slater,82.4,1.8,1.5,0.8,0.4,0.2,-0.1
Thomas Robinson,81.5,1.6,1.5,0.9,0.6,-0.1,NA
Charles Pittman,80.9,1.7,1.5,0.9,0.1,NA,NA
Solomon Jones,79.7,1.9,1.6,0.8,0.5,0.3,0
John Wallace,79.0,1.6,1.5,1,1,0.7,0.3
Dominic McGuire,78.1,1.7,1.5,0.9,0.3,0,-0.2
Joe Ellis,76.7,1.3,1.3,1,0.5,0.4,-0.3
Cliff Meely,76.7,1.8,1.2,1,0.4,0.2,NA
Brian Scalabrine,76.5,1.7,1.4,1,0.9,0.3,-0.1
