Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Butch van Breda Kolff,,4.4,2.5,2.3,0.2,NA,NA
Seth Curry,83.5,4.6,2.4,1.4,0,0,NA
Eddie Robinson,82.3,4,3,2.2,0.8,0.2,NA
Don Carlson,80.6,5.8,2.8,2.6,0.2,NA,NA
Sonny Hertzberg,79.5,4,2.5,2.3,1.4,0.7,NA
Earl Tatum,78.7,4.4,2.6,0.7,0,NA,NA
Michael Dickerson,77.6,5.5,2.2,1.8,0.1,-0.1,NA
Dick Farley,77.2,3,2.8,2.5,NA,NA,NA
Tyus Jones,76.7,3.6,3,1.5,0.3,NA,NA
Roger Phegley,76.5,3.7,2.6,1.6,0.8,0,-0.1
Pep Saul,76.3,4.2,2.8,1.5,0.8,0.6,NA
