Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Butch van Breda Kolff,,4.4,2.5,2.3,0.2
Armond Hill,89.8,4.2,2.6,2.5,0.8
Eddie Robinson,89.3,4,3,2.2,0.2
Charlie Criss,87.8,3.7,2.8,2.5,0.1
Danny Young,87.8,4.8,2.9,2.4,-0.1
Chauncey Billups,86.8,3.7,3,2.3,0.1
Eddie Jordan,86.8,4.1,2.4,1.9,0.6
Toney Douglas,86.7,4.2,2.4,2.2,-0.6
Marquis Daniels,86.2,4.2,3.2,2.5,0.6
T.J. Ford,85.8,4.3,3.3,2.5,0.7
Winston Garland,85.5,4.5,2.4,1.7,-0.3
