Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Hilton Armstrong,,1.5,1.2,0.5,0.5,0.3,-0.1,NA
Rafael Addison,75.1,1.5,1.5,0.9,0.4,0.4,0.2,NA
Cliff Meely,75.1,1.8,1.2,1,0.4,0.2,NA,NA
John Thomas,75.1,1.5,0.9,0.4,0.4,0,NA,NA
Gary Gregor,74.5,1.4,1.1,0.8,0.5,0.5,-0.4,NA
Henry Walker,73.5,1.9,1.1,0.9,0.5,0.5,NA,NA
D.J. White,72.9,1.8,0.8,0.6,0.4,0.2,0,NA
Tony Brown,72.6,1.8,1.3,0.9,0.5,0.2,0.2,0
Tellis Frank,72.4,2,1.1,0.6,0.3,0.1,NA,NA
Bob Portman,72.4,1.9,1.2,0.8,0.5,NA,NA,NA
Fred Saunders,72.3,1.3,1.2,0.5,0.1,NA,NA,NA
