Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Red Morrison,,1.7,0.5,0
DerMarr Johnson,96.4,1.7,0.4,0
Stanislav Medvedenko,91.0,1.8,0.4,0.1
Andrew Nicholson,88.1,1.7,0.6,0.1
Duane Ferrell,87.0,1.9,0.4,-0.1
Jim Holstein,86.6,1.8,0.6,0.2
Mario Bennett,86.3,1.5,0.5,0
Kornél Dávid,84.1,1.7,0.4,0.3
Boštjan Nachbar,82.5,1.7,0.8,-0.1
Ron Bonham,82.0,1.8,0.7,0.2
Tellis Frank,82.0,2,0.6,0.1
