Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1954-55,22,BOS,NBA,C,7,42,-2.4,0.376,0.375,NA,NA,NA,3.3,NA,0,0,0,-0.05
1955-56,23,BOS,NBA,C,3,23,1.9,0.228,0.571,NA,NA,NA,0,NA,-0.1,0,-0.1,-0.128
Career,NA,,NBA,,10,65,-0.9,0.304,0.467,NA,NA,NA,2.1,NA,-0.1,0,-0.1,-0.077
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BOS,NBA,,10,65,-0.9,0.304,0.467,NA,NA,NA,2.1,NA,-0.1,0,-0.1,-0.077
