Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Red Morrison,,1.7,0.5,0,NA
Jim Holstein,86.6,1.8,0.6,0.2,NA
Kornél Dávid,84.1,1.7,0.4,0.3,NA
Mario Bennett,83.9,1.5,0.5,0,-0.1
Ron Bonham,82.0,1.8,0.7,0.2,NA
Chris Singleton,80.8,1.5,0.5,0.2,NA
Bill Bunting,79.3,2,0.7,0,NA
Derrick Alston,76.2,1.7,1,-0.1,NA
Marquese Chriss,76.0,1.8,0.7,-0.2,NA
C.J. Kupec,76.0,1.5,0.5,-0.2,NA
Ron Riley,75.7,1.6,0.7,0.2,0
