Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Luke Jackson,,0.1,0.1,0,0
Ben Davis,76.2,0.1,0.1,0,0
Doug Edwards,45.7,0.2,0.1,0,NA
Dennis Bell,43.0,0.1,0,0,NA
Jackie Robinson,29.1,0.2,0.1,0,NA
Easy Parham,18.8,0.3,0.1,0,NA
Jacky Dorsey,18.6,0.2,0.2,-0.1,NA
Alando Tucker,16.7,0.2,0.1,0,NA
Scooter McCray,6.4,0.3,0.1,0,NA
Victor Claver,5.2,0.2,0.1,-0.1,NA
Etdrick Bohannon,-1.8,0.1,0.1,0,-0.1
