,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game
Season,Age,College,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST
1976-77,18,LOUISVILLE,28,652,150,299,,,59,93,,109,,,,,,359,.502,,.634,23.3,12.8,3.9,
1977-78,19,LOUISVILLE,30,996,240,460,,,78,110,,162,,,,,,558,.522,,.709,33.2,18.6,5.4,
1978-79,20,LOUISVILLE,32,1001,242,487,,,107,151,,140,,,,,,591,.497,,.709,31.3,18.5,4.4,
1979-80,21,LOUISVILLE,36,1246,349,631,,,127,178,,174,,,,,,825,.553,,.713,34.6,22.9,4.8,
Career,,,126,3895,981,1877,,,371,532,,585,,,,,,2333,.523,,.697,30.9,18.5,4.6,
