Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Darrell Griffith,,3.9,3.5,3.5,2.8,2.5,2.5,2.1,0.8,0.4,0
Anthony Peeler,90.1,4.1,3.8,3.7,3.2,2.7,2.5,2.4,1.1,0.8,0.6
C.J. Watson,90.1,4,3.8,3.3,3.2,3.1,2.6,2.1,0.9,0.6,0.4
Lionel Hollins,87.1,5.2,4,3.4,2.9,2.5,2.3,1.8,0.6,0.1,0.1
Ernie Grunfeld,86.9,4.3,4.3,3.5,2.7,2.5,2.4,2.2,1.6,1.4,NA
Herm Gilliam,85.7,4.9,3.4,2.9,2.7,2.5,2.5,1.4,0.4,NA,NA
Randy Foye,85.0,4.6,3.7,3.2,3.1,2.3,2.2,1.7,1.1,1,0.4
Bill Hanzlik,84.9,4.7,4.1,3.5,2.9,2.4,2.2,1.9,1.3,1,0.7
Maurice Evans,84.6,4.9,3.8,3.2,3.1,2.6,2.1,1.7,0.3,0.1,NA
Marcus Thornton,84.5,4,3.8,3.5,3.2,2,1.7,1.2,0.5,NA,NA
Calbert Cheaney,84.0,4.1,3.9,3.2,3.2,2.8,1.2,1.2,0.8,0.4,-0.1
