Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
James Singleton,,3,2.3,1.1,1,0.7,NA,NA,NA
Mark Alarie,92.0,3.1,2.2,1.5,0.9,0.6,NA,NA,NA
Joey Graham,90.5,3,2.2,1.3,1.1,0.3,0,NA,NA
Joel Kramer,88.6,3,2.9,1.4,1,0.8,NA,NA,NA
Mark Strickland,86.0,2.8,2.2,1,0.6,0.5,0,0,0
Darren Daye,85.7,3.8,2.4,1.3,1.2,0.6,NA,NA,NA
Sam Mack,83.7,2.8,1.9,1.3,1.1,0.3,0,-0.1,NA
Brady Walker,82.9,2.8,1.9,1.2,1,NA,NA,NA,NA
Lee Nailon,82.3,3.5,2.2,0.9,0.7,0.5,0.3,NA,NA
Bruce Seals,82.1,2.9,2.4,1.6,0.6,0.3,NA,NA,NA
Simmie Hill,81.8,3.1,1.6,1.2,1,NA,NA,NA,NA
