Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
James Singleton,,3,2.3,1.1,1,0.7
Mark Alarie,92.0,3.1,2.2,1.5,0.9,0.6
Joey Graham,91.0,3,2.2,1.3,1.1,0.3
Toby Kimball,90.2,3.2,2.5,1.2,1.2,0.4
Joel Kramer,88.6,3,2.9,1.4,1,0.8
Mark Madsen,87.3,2.7,1.9,1.1,1.1,0.8
Travis Outlaw,86.5,3.2,2.3,1.4,0.9,0
Anthony Tolliver,86.3,3.3,2.5,1.2,0.9,0
Jared Jeffries,85.8,3.1,2.6,1.2,0.6,0.3
Darren Daye,85.7,3.8,2.4,1.3,1.2,0.6
Ryan Bowen,85.6,3.1,2.1,1.7,1.4,0.8
