Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,24,DNR,ABA,PG,5,145,7.7,0.441,0.028,0.444,NA,NA,7.6,14.9,18.9,14.5,NA,0,0.1,0,0.016
1968-69,25,DNR,ABA,PG,2,9,-6.8,0,0,0,NA,NA,0,0,0,4.2,NA,0,0,0,-0.131
Career,NA,,ABA,,7,154,6.9,0.431,0.027,0.432,NA,NA,7.2,14,18.5,13.9,NA,0,0.1,0,0.007
