Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Pat Connaughton,,3.9,2.5,0.6,-0.2
Devean George,92.2,4.2,2.7,0.7,-0.3
Keith Jennings,87.6,4.2,2.9,0.6,NA
Billy Ray Bates,87.1,3.6,2.4,0.9,0
Earl Tatum,86.6,4.4,2.6,0.7,0
Ron Sobie,86.3,3.6,2.6,0.9,0.1
Matt Carroll,86.0,4.6,2.6,0.7,0
Ron Lee,85.0,3.8,2.8,0.8,0.3
Kevin Loughery,84.8,3.6,2.6,0.1,-0.3
Lucious Harris,84.2,4.1,2.1,0.6,0.4
Al Butler,84.0,4.1,2.1,1.1,-0.3
