Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Charlie Davis,,0.8,0.7,-0.1,NA,NA
LaBradford Smith,92.4,0.8,0.8,-0.1,NA,NA
Carlos Terry,90.9,0.8,0.8,-0.1,NA,NA
Tony Bennett,83.2,0.9,0.7,0,NA,NA
Zoran Planinić,81.6,0.8,0.7,0.1,NA,NA
Kris Dunn,76.8,0.9,0.6,0.1,NA,NA
Litterial Green,76.7,0.8,0.8,0.1,0,-0.1
Tarence Kinsey,73.7,0.9,0.6,0,NA,NA
Sundiata Gaines,73.6,1,0.5,-0.1,NA,NA
Stan Pietkiewicz,72.0,1,0.6,0,NA,NA
Glenn Hansen,68.6,0.8,0.4,-0.1,NA,NA
