Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Olumide Oyedeji,,0.4,0.4,0.3,NA,NA,NA,NA
Daniel Orton,80.0,0.5,0.3,0.3,NA,NA,NA,NA
Shawnelle Scott,73.3,0.5,0.4,0.2,0.2,NA,NA,NA
Dave Feitl,72.8,0.5,0.4,0.3,0.2,0.1,NA,NA
Hamed Haddadi,70.8,0.6,0.6,0.4,0.1,0,NA,NA
Jabari Smith,66.4,0.7,0.5,0.2,0,NA,NA,NA
Alan Ogg,55.6,0.5,0.3,0,NA,NA,NA,NA
Mike Smrek,53.4,0.4,0.4,0.1,0,0,-0.1,-0.2
Mamadou N'Diaye,50.6,0.8,0.6,0.3,0.2,0,NA,NA
Dave Newmark,49.8,0.8,0.7,0.4,NA,NA,NA,NA
Kyrylo Fesenko,48.0,0.6,0.3,0.1,0,-0.1,NA,NA
